PROD_SK,PROD_ID,PROD_NM,GNRC_NM,THRPC_CLASS_NM,DISE_CAT_NM,DRG_DOSAG_FRM_NM,NDC,GPI,DRG_DRG_INTRCTN_DESC,BASE_PRICE,BRAND_IND,CONTROLLED_SUB_FLG,NARROW_THRPTC_IDX_FLG,PROD_ACTV_FLG,PROD_EFF_DT,PROD_TERM_DT,GPI_NO,DRG_CLASS_NM,DRG_SUB_CLASS_NM,DRG_FDA_THRPC_EQVLC_CD,RXCUI
1011,PROD1011,Omeprazole 20mg,omeprazole,Proton Pump Inhibitor,GERD,Capsule,93312805,4920001000,Reduces clopidogrel efficacy; Mg depletion long-term,15.0,N,N,N,Y,2020-01-01,2029-12-31,30000100000000,Proton Pump Inhibitors,Substituted Benzimidazoles,AB,402873.0
1012,PROD1012,Pantoprazole 40mg,pantoprazole,Proton Pump Inhibitor,GERD,Tablet,93315305,4920001100,Hypomagnesemia with prolonged use,19.0,N,N,N,Y,2020-01-01,2029-12-31,30000200000000,Proton Pump Inhibitors,Substituted Benzimidazoles,AB,854873.0
1013,PROD1013,Sertraline 50mg,sertraline,SSRI,Major Depressive Disorder,Tablet,49493066,6010001000,Serotonin syndrome with MAOIs; increased bleeding with NSAIDs,14.5,N,N,N,Y,2020-01-01,2029-12-31,16000100000000,Antidepressants,Selective Serotonin Reuptake Inhibitors,AB,312940.0
1014,PROD1014,Escitalopram 10mg,escitalopram,SSRI,Major Depressive Disorder,Tablet,456213003,6010001100,QT prolongation risk; serotonin syndrome with triptans,18.0,N,N,N,Y,2020-01-01,2029-12-31,16000200000000,Antidepressants,Selective Serotonin Reuptake Inhibitors,AB,351249.0
1015,PROD1015,Duloxetine 30mg,duloxetine,SNRI,Major Depressive Disorder,Capsule,2322230,6010101000,Hypertension risk; bleeding with NSAIDs,42.0,N,N,N,Y,2020-01-01,2029-12-31,16000300000000,Antidepressants,Serotonin-Norepinephrine Reuptake Inhibitors,AB,
1016,PROD1016,Alendronate 70mg,alendronate,Bisphosphonate,Osteoporosis,Tablet,6028258,3302001000,Esophageal irritation; take with full glass of water,24.0,N,N,N,Y,2020-01-01,2029-12-31,22000100000000,Bone Resorption Inhibitors,Nitrogen-Containing Bisphosphonates,AB,904455.0
1017,PROD1017,Risedronate 35mg,risedronate,Bisphosphonate,Osteoporosis,Tablet,149047601,3302001100,GI irritation; calcium impairs absorption,31.0,N,N,N,Y,2020-01-01,2029-12-31,22000200000000,Bone Resorption Inhibitors,Nitrogen-Containing Bisphosphonates,AB,
1018,PROD1018,Albuterol 90mcg,albuterol,Beta-2 Agonist,Asthma,Inhaler,85113101,4400001000,Hypokalemia with high doses; tachycardia,28.0,N,N,N,Y,2020-01-01,2029-12-31,23000100000000,Bronchodilators,Short-Acting Beta-2 Agonists,AB,745679.0
1019,PROD1019,Fluticasone 110mcg,fluticasone,Corticosteroid,Asthma,Inhaler,173071120,4400201000,Immunosuppression; adrenal suppression with systemic steroids,65.0,Y,N,N,Y,2020-01-01,2029-12-31,25000100000000,Corticosteroids,Inhaled Corticosteroids,BX,
1020,PROD1020,Montelukast 10mg,montelukast,Leukotriene Modifier,Asthma,Tablet,6071754,4400501000,Neuropsychiatric events reported,42.5,N,N,N,Y,2020-01-01,2029-12-31,20000100000000,Asthma/Allergy Agents,Leukotriene Receptor Antagonists,AB,597966.0
1021,PROD1021,Warfarin 5mg,warfarin,Anticoagulant,Atrial Fibrillation,Tablet,56016985,8320001000,"Extensive interactions - NSAIDs, antibiotics, CYP2C9 inducers",9.5,N,N,Y,Y,2020-01-01,2029-12-31,14000100000000,Anticoagulants,Vitamin K Antagonists,B,855332.0
1022,PROD1022,Apixaban 5mg,apixaban,Factor Xa Inhibitor,Atrial Fibrillation,Tablet,59148001401,8320201000,Increased bleeding with antiplatelets and NSAIDs,310.0,Y,N,N,Y,2020-01-01,2029-12-31,14000200000000,Anticoagulants,Direct Factor Xa Inhibitors,BX,1364445.0
1023,PROD1023,Rivaroxaban 20mg,rivaroxaban,Factor Xa Inhibitor,Atrial Fibrillation,Tablet,50458057890,8320201100,P-gp and CYP3A4 interactions; take with evening meal,295.0,Y,N,N,Y,2020-01-01,2029-12-31,14000300000000,Anticoagulants,Direct Factor Xa Inhibitors,BX,1114195.0
1024,PROD1024,Clopidogrel 75mg,clopidogrel,Antiplatelet,Coronary Artery Disease,Tablet,78036315,8380001000,Reduced efficacy with omeprazole (CYP2C19),16.5,N,N,N,Y,2020-01-01,2029-12-31,18000100000000,Antiplatelet Agents,P2Y12 Platelet Inhibitors,AB,309362.0
1025,PROD1025,Aspirin 81mg,aspirin,Antiplatelet,Coronary Artery Disease,Tablet,280025150,8380001100,Increased bleeding with anticoagulants,4.0,N,N,N,Y,2020-01-01,2029-12-31,18000200000000,Antiplatelet Agents,Salicylate Antiplatelet Agents,AB,243670.0
1026,PROD1026,Gabapentin 300mg,gabapentin,Anticonvulsant,Neuropathic Pain,Capsule,781534105,7210001000,CNS depression with opioids and benzodiazepines,19.5,N,N,N,Y,2020-01-01,2029-12-31,15000100000000,Anticonvulsants,Gabapentinoids (GABA Analogs),AB,310431.0
1027,PROD1027,Pregabalin 75mg,pregabalin,Anticonvulsant,Neuropathic Pain,Capsule,71010568,7210001100,Weight gain; CNS depression with CNS depressants,98.0,Y,N,N,Y,2020-01-01,2029-12-31,15000200000000,Anticonvulsants,Gabapentinoids (GABA Analogs),BX,
1028,PROD1028,Celecoxib 200mg,celecoxib,COX-2 Inhibitor,Osteoarthritis,Capsule,25153531,7420101000,Cardiovascular risk; renal impairment with ACE inhibitors,65.0,Y,N,N,Y,2020-01-01,2029-12-31,29000100000000,NSAIDs,Selective COX-2 Inhibitors,BX,239981.0
1029,PROD1029,Naproxen 500mg,naproxen,NSAID,Osteoarthritis,Tablet,93278001,7420001000,GI bleeding; reduced diuretic effect,12.0,N,N,N,Y,2020-01-01,2029-12-31,29000200000000,NSAIDs,Nonselective COX Inhibitors,AB,198013.0
1030,PROD1030,Hydrochlorothiazide 25mg,hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,93084101,2220001000,Hypokalemia; glucose elevation; lithium toxicity,7.5,N,N,N,Y,2020-01-01,2029-12-31,26000100000000,Diuretics,Thiazide Diuretics,AB,310798.0
1031,PROD1031,Furosemide 40mg,furosemide,Loop Diuretic,Heart Failure,Tablet,116288001,2220101000,Ototoxicity with aminoglycosides; hypokalemia,8.0,N,N,N,Y,2020-01-01,2029-12-31,26000200000000,Diuretics,Loop Diuretics,AB,310429.0
1032,PROD1032,Spironolactone 25mg,spironolactone,Potassium-Sparing Diuretic,Heart Failure,Tablet,25102831,2220201000,Hyperkalemia with ACE inhibitors; gynecomastia,11.5,N,N,N,Y,2020-01-01,2029-12-31,26000300000000,Diuretics,Aldosterone Receptor Antagonists,AB,313096.0
1033,PROD1033,Carvedilol 12.5mg,carvedilol,Alpha-Beta Blocker,Heart Failure,Tablet,7479120,2210301000,Bradycardia; hypotension with antihypertensives,18.0,N,N,N,Y,2020-01-01,2029-12-31,21000200000000,Beta Blockers,Combined Alpha/Beta Adrenergic Blockers,AB,
1034,PROD1034,Sacubitril-Valsartan 24-26mg,sacubitril/valsartan,ARNI,Heart Failure,Tablet,78065715,2210401000,Do not use with ACE inhibitors within 36 hours; hyperkalemia,485.0,Y,N,N,Y,2020-01-01,2029-12-31,27000100000000,Heart Failure Agents,Angiotensin Receptor-Neprilysin Inhibitors,BX,
1035,PROD1035,Amoxicillin 500mg,amoxicillin,Penicillin Antibiotic,Bacterial Infection,Capsule,781261801,112001000,Allergic reactions; reduces OCP efficacy,14.0,N,N,N,Y,2020-01-01,2029-12-31,13000100000000,Antibiotics,Aminopenicillins,AB,308191.0
1036,PROD1036,Azithromycin 250mg,azithromycin,Macrolide Antibiotic,Bacterial Infection,Tablet,69307120,116001000,QT prolongation with antiarrhythmics,22.5,N,N,N,Y,2020-01-01,2029-12-31,13000200000000,Antibiotics,Macrolides,AB,141962.0
1037,PROD1037,Doxycycline 100mg,doxycycline,Tetracycline Antibiotic,Bacterial Infection,Capsule,641024625,112401000,Photosensitivity; calcium impairs absorption,18.0,N,N,N,Y,2020-01-01,2029-12-31,13000300000000,Antibiotics,Tetracyclines,AB,
1038,PROD1038,Linagliptin 5mg,linagliptin,DPP-4 Inhibitor,Type 2 Diabetes,Tablet,597001510,2710401100,Similar interactions as sitagliptin,132.0,Y,N,N,Y,2020-01-01,2029-12-31,17000500000000,Antidiabetics,Dipeptidyl Peptidase-4 Inhibitors,BX,
1039,PROD1039,Canagliflozin 100mg,canagliflozin,SGLT2 Inhibitor,Type 2 Diabetes,Tablet,50458060010,2710501100,Amputation risk; volume depletion,360.0,Y,N,N,Y,2020-01-01,2029-12-31,17000600000000,Antidiabetics,Sodium-Glucose Cotransporter-2 Inhibitors,BX,
1040,PROD1040,Pioglitazone 30mg,pioglitazone,Thiazolidinedione,Type 2 Diabetes,Tablet,169275030,2710301000,Fluid retention; bladder cancer risk with long-term use,28.0,N,N,N,Y,2020-01-01,2029-12-31,17000700000000,Antidiabetics,Thiazolidinediones,AB,261102.0
1041,PROD1041,Venlafaxine 75mg,venlafaxine,SNRI,Major Depressive Disorder,Capsule,8443901,6010101100,Serotonin syndrome; hypertension; discontinuation syndrome,24.5,N,N,N,Y,2020-01-01,2029-12-31,16000400000000,Antidepressants,Serotonin-Norepinephrine Reuptake Inhibitors,AB,
1042,PROD1042,Bupropion 150mg,bupropion,NDRI,Major Depressive Disorder,Tablet,173017400,6010201000,Seizure risk; contraindicated with MAOIs,32.0,N,N,N,Y,2020-01-01,2029-12-31,16000500000000,Antidepressants,Norepinephrine-Dopamine Reuptake Inhibitors,AB,
1043,PROD1043,Quetiapine 25mg,quetiapine,Atypical Antipsychotic,Bipolar Disorder,Tablet,310027515,6020301000,Metabolic syndrome; QT prolongation with antiarrhythmics,45.0,N,N,N,Y,2020-01-01,2029-12-31,19000100000000,Antipsychotics,Atypical (Second-Generation) Antipsychotics,AB,574137.0
1044,PROD1044,Lithium 300mg,lithium carbonate,Mood Stabilizer,Bipolar Disorder,Capsule,74669024,6020101000,Narrow therapeutic index; renal monitoring required,12.0,N,N,Y,Y,2020-01-01,2029-12-31,28000100000000,Mood Stabilizers,Lithium Salts,B,358263.0
1045,PROD1045,Zolpidem 10mg,zolpidem,Non-Benzodiazepine Hypnotic,Insomnia,Tablet,536416301,6020501000,CNS depression with alcohol; next-day drowsiness,14.5,N,Y,N,Y,2020-01-01,2029-12-31,32000100000000,Sedative-Hypnotics,Nonbenzodiazepine GABA-A Agonists (Z-Drugs),AB,313782.0
1046,PROD1046,Tamsulosin 0.4mg,tamsulosin,Alpha Blocker,Benign Prostatic Hyperplasia,Capsule,88110947,2240001000,Orthostatic hypotension with antihypertensives,24.0,N,N,N,Y,2020-01-01,2029-12-31,11000100000000,Alpha Blockers,Selective Alpha-1 Adrenergic Antagonists,AB,372568.0
1047,PROD1047,Finasteride 5mg,finasteride,5-Alpha Reductase Inhibitor,Benign Prostatic Hyperplasia,Tablet,6046254,2240101000,Teratogenic; contraindicated in women,32.0,N,N,N,Y,2020-01-01,2029-12-31,35000100000000,Urologic Agents,5-Alpha Reductase Inhibitors,AB,310385.0
1048,PROD1048,Allopurinol 300mg,allopurinol,Xanthine Oxidase Inhibitor,Gout,Tablet,378016301,4400101000,Increased toxicity of azathioprine/mercaptopurine,14.0,N,N,N,Y,2020-01-01,2029-12-31,12000100000000,Anti-Gout Agents,Xanthine Oxidase Inhibitors,AB,197320.0
1049,PROD1049,Colchicine 0.6mg,colchicine,Anti-Gout Agent,Gout,Tablet,64764010030,4400201100,CYP3A4 interactions; GI toxicity; myopathy,48.0,N,N,N,Y,2020-01-01,2029-12-31,12000200000000,Anti-Gout Agents,Anti-Inflammatory Antigout Agents,AB,
1050,PROD1050,Tiotropium 18mcg,tiotropium,Anticholinergic,COPD,Inhaler,597000710,4400601000,Anticholinergic effects; avoid with other anticholinergics,185.0,Y,N,N,Y,2020-01-01,2029-12-31,31000100000000,Respiratory Anticholinergics,Long-Acting Muscarinic Antagonists,BX,
1023,PROD1023,Rivaroxaban 20mg,rivaroxaban,Factor Xa Inhibitor,Atrial Fibrillation,Tablet,50458057890,8320201100,P-gp and CYP3A4 interactions; take with evening meal,295.0,Y,N,N,Y,2020-01-01,2029-12-31,14000300000000,Anticoagulants,Direct Factor Xa Inhibitors,BX,1114195.0
1005,PROD1005,Rosuvastatin 10mg,rosuvastatin,Statin,Hyperlipidemia,Tablet,310075030,3940001100,Increased INR with warfarin,28.5,N,N,N,Y,2020-01-01,2029-12-31,33000200000000,Statins,HMG-CoA Reductase Inhibitors,AB,859749.0
1010,PROD1010,Levothyroxine 50mcg,levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,378181177,440001000,Decreased absorption with calcium/antacids,8.5,N,N,N,Y,2020-01-01,2029-12-31,34000100000000,Thyroid Agents,Synthetic Levothyroxine Analogs,AB,
1018,PROD1018,Albuterol 90mcg,albuterol,Beta-2 Agonist,Asthma,Inhaler,85113101,4400001000,Hypokalemia with high doses; tachycardia,28.0,N,N,N,Y,2020-01-01,2029-12-31,23000100000000,Bronchodilators,Short-Acting Beta-2 Agonists,AB,745679.0
1002,PROD1002,Amlodipine 5mg,amlodipine,Calcium Channel Blocker,Hypertension,Tablet,69153041,2230001000,Avoid grapefruit; CYP3A4 interactions,18.75,N,N,N,Y,2020-01-01,2029-12-31,24000100000000,Calcium Channel Blockers,Dihydropyridine Calcium Channel Blockers,AB,197361.0
1022,PROD1022,Apixaban 5mg,apixaban,Factor Xa Inhibitor,Atrial Fibrillation,Tablet,59148001401,8320201000,Increased bleeding with antiplatelets and NSAIDs,310.0,Y,N,N,Y,2020-01-01,2029-12-31,14000200000000,Anticoagulants,Direct Factor Xa Inhibitors,BX,1364445.0
1025,PROD1025,Aspirin 81mg,aspirin,Antiplatelet,Coronary Artery Disease,Tablet,280025150,8380001100,Increased bleeding with anticoagulants,4.0,N,N,N,Y,2020-01-01,2029-12-31,18000200000000,Antiplatelet Agents,Salicylate Antiplatelet Agents,AB,243670.0
1041,PROD1041,Venlafaxine 75mg,venlafaxine,SNRI,Major Depressive Disorder,Capsule,8443901,6010101100,Serotonin syndrome; hypertension; discontinuation syndrome,24.5,N,N,N,Y,2020-01-01,2029-12-31,16000400000000,Antidepressants,Serotonin-Norepinephrine Reuptake Inhibitors,AB,
1035,PROD1035,Amoxicillin 500mg,amoxicillin,Penicillin Antibiotic,Bacterial Infection,Capsule,781261801,112001000,Allergic reactions; reduces OCP efficacy,14.0,N,N,N,Y,2020-01-01,2029-12-31,13000100000000,Antibiotics,Aminopenicillins,AB,308191.0
1011,PROD1011,Omeprazole 20mg,omeprazole,Proton Pump Inhibitor,GERD,Capsule,93312805,4920001000,Reduces clopidogrel efficacy; Mg depletion long-term,15.0,N,N,N,Y,2020-01-01,2029-12-31,30000100000000,Proton Pump Inhibitors,Substituted Benzimidazoles,AB,402873.0
1037,PROD1037,Doxycycline 100mg,doxycycline,Tetracycline Antibiotic,Bacterial Infection,Capsule,641024625,112401000,Photosensitivity; calcium impairs absorption,18.0,N,N,N,Y,2020-01-01,2029-12-31,13000300000000,Antibiotics,Tetracyclines,AB,
1039,PROD1039,Canagliflozin 100mg,canagliflozin,SGLT2 Inhibitor,Type 2 Diabetes,Tablet,50458060010,2710501100,Amputation risk; volume depletion,360.0,Y,N,N,Y,2020-01-01,2029-12-31,17000600000000,Antidiabetics,Sodium-Glucose Cotransporter-2 Inhibitors,BX,
1025,PROD1025,Aspirin 81mg,aspirin,Antiplatelet,Coronary Artery Disease,Tablet,280025150,8380001100,Increased bleeding with anticoagulants,4.0,N,N,N,Y,2020-01-01,2029-12-31,18000200000000,Antiplatelet Agents,Salicylate Antiplatelet Agents,AB,243670.0
1012,PROD1012,Pantoprazole 40mg,pantoprazole,Proton Pump Inhibitor,GERD,Tablet,93315305,4920001100,Hypomagnesemia with prolonged use,19.0,N,N,N,Y,2020-01-01,2029-12-31,30000200000000,Proton Pump Inhibitors,Substituted Benzimidazoles,AB,854873.0
1039,PROD1039,Canagliflozin 100mg,canagliflozin,SGLT2 Inhibitor,Type 2 Diabetes,Tablet,50458060010,2710501100,Amputation risk; volume depletion,360.0,Y,N,N,Y,2020-01-01,2029-12-31,17000600000000,Antidiabetics,Sodium-Glucose Cotransporter-2 Inhibitors,BX,
1008,PROD1008,Sitagliptin 100mg,sitagliptin,DPP-4 Inhibitor,Type 2 Diabetes,Tablet,6043254,2710401000,May increase digoxin levels slightly,145.0,Y,N,N,Y,2020-01-01,2029-12-31,17000300000000,Antidiabetics,Dipeptidyl Peptidase-4 Inhibitors,BX,665058.0
1049,PROD1049,Colchicine 0.6mg,colchicine,Anti-Gout Agent,Gout,Tablet,64764010030,4400201100,CYP3A4 interactions; GI toxicity; myopathy,48.0,N,N,N,Y,2020-01-01,2029-12-31,12000200000000,Anti-Gout Agents,Anti-Inflammatory Antigout Agents,AB,
1020,PROD1020,Montelukast 10mg,montelukast,Leukotriene Modifier,Asthma,Tablet,6071754,4400501000,Neuropsychiatric events reported,42.5,N,N,N,Y,2020-01-01,2029-12-31,20000100000000,Asthma/Allergy Agents,Leukotriene Receptor Antagonists,AB,597966.0
1046,PROD1046,Tamsulosin 0.4mg,tamsulosin,Alpha Blocker,Benign Prostatic Hyperplasia,Capsule,88110947,2240001000,Orthostatic hypotension with antihypertensives,24.0,N,N,N,Y,2020-01-01,2029-12-31,11000100000000,Alpha Blockers,Selective Alpha-1 Adrenergic Antagonists,AB,372568.0
1021,PROD1021,Warfarin 5mg,warfarin,Anticoagulant,Atrial Fibrillation,Tablet,56016985,8320001000,"Extensive interactions - NSAIDs, antibiotics, CYP2C9 inducers",9.5,N,N,Y,Y,2020-01-01,2029-12-31,14000100000000,Anticoagulants,Vitamin K Antagonists,B,855332.0
1046,PROD1046,Tamsulosin 0.4mg,tamsulosin,Alpha Blocker,Benign Prostatic Hyperplasia,Capsule,88110947,2240001000,Orthostatic hypotension with antihypertensives,24.0,N,N,N,Y,2020-01-01,2029-12-31,11000100000000,Alpha Blockers,Selective Alpha-1 Adrenergic Antagonists,AB,372568.0
1003,PROD1003,Metoprolol 25mg,metoprolol succinate,Beta Blocker,Hypertension,Tablet,378526001,2210201000,Risk of bradycardia with other antihypertensives,14.0,N,N,N,Y,2020-01-01,2029-12-31,21000100000000,Beta Blockers,Beta-1 Selective (Cardioselective) Blockers,AB,866427.0
1018,PROD1018,Albuterol 90mcg,albuterol,Beta-2 Agonist,Asthma,Inhaler,85113101,4400001000,Hypokalemia with high doses; tachycardia,28.0,N,N,N,Y,2020-01-01,2029-12-31,23000100000000,Bronchodilators,Short-Acting Beta-2 Agonists,AB,745679.0
1027,PROD1027,Pregabalin 75mg,pregabalin,Anticonvulsant,Neuropathic Pain,Capsule,71010568,7210001100,Weight gain; CNS depression with CNS depressants,98.0,Y,N,N,Y,2020-01-01,2029-12-31,15000200000000,Anticonvulsants,Gabapentinoids (GABA Analogs),BX,
1006,PROD1006,Metformin 500mg,metformin,Biguanide,Type 2 Diabetes,Tablet,93107601,2710001000,Lactic acidosis risk with contrast media,9.0,N,N,N,Y,2020-01-01,2029-12-31,17000100000000,Antidiabetics,Biguanides,AB,861007.0
1032,PROD1032,Spironolactone 25mg,spironolactone,Potassium-Sparing Diuretic,Heart Failure,Tablet,25102831,2220201000,Hyperkalemia with ACE inhibitors; gynecomastia,11.5,N,N,N,Y,2020-01-01,2029-12-31,26000300000000,Diuretics,Aldosterone Receptor Antagonists,AB,313096.0
1016,PROD1016,Alendronate 70mg,alendronate,Bisphosphonate,Osteoporosis,Tablet,6028258,3302001000,Esophageal irritation; take with full glass of water,24.0,N,N,N,Y,2020-01-01,2029-12-31,22000100000000,Bone Resorption Inhibitors,Nitrogen-Containing Bisphosphonates,AB,904455.0
1024,PROD1024,Clopidogrel 75mg,clopidogrel,Antiplatelet,Coronary Artery Disease,Tablet,78036315,8380001000,Reduced efficacy with omeprazole (CYP2C19),16.5,N,N,N,Y,2020-01-01,2029-12-31,18000100000000,Antiplatelet Agents,P2Y12 Platelet Inhibitors,AB,309362.0
1029,PROD1029,Naproxen 500mg,naproxen,NSAID,Osteoarthritis,Tablet,93278001,7420001000,GI bleeding; reduced diuretic effect,12.0,N,N,N,Y,2020-01-01,2029-12-31,29000200000000,NSAIDs,Nonselective COX Inhibitors,AB,198013.0
1020,PROD1020,Montelukast 10mg,montelukast,Leukotriene Modifier,Asthma,Tablet,6071754,4400501000,Neuropsychiatric events reported,42.5,N,N,N,Y,2020-01-01,2029-12-31,20000100000000,Asthma/Allergy Agents,Leukotriene Receptor Antagonists,AB,597966.0
1014,PROD1014,Escitalopram 10mg,escitalopram,SSRI,Major Depressive Disorder,Tablet,456213003,6010001100,QT prolongation risk; serotonin syndrome with triptans,18.0,N,N,N,Y,2020-01-01,2029-12-31,16000200000000,Antidepressants,Selective Serotonin Reuptake Inhibitors,AB,351249.0
1034,PROD1034,Sacubitril-Valsartan 24-26mg,sacubitril/valsartan,ARNI,Heart Failure,Tablet,78065715,2210401000,Do not use with ACE inhibitors within 36 hours; hyperkalemia,485.0,Y,N,N,Y,2020-01-01,2029-12-31,27000100000000,Heart Failure Agents,Angiotensin Receptor-Neprilysin Inhibitors,BX,
1020,PROD1020,Montelukast 10mg,montelukast,Leukotriene Modifier,Asthma,Tablet,6071754,4400501000,Neuropsychiatric events reported,42.5,N,N,N,Y,2020-01-01,2029-12-31,20000100000000,Asthma/Allergy Agents,Leukotriene Receptor Antagonists,AB,597966.0
1012,PROD1012,Pantoprazole 40mg,pantoprazole,Proton Pump Inhibitor,GERD,Tablet,93315305,4920001100,Hypomagnesemia with prolonged use,19.0,N,N,N,Y,2020-01-01,2029-12-31,30000200000000,Proton Pump Inhibitors,Substituted Benzimidazoles,AB,854873.0
1008,PROD1008,Sitagliptin 100mg,sitagliptin,DPP-4 Inhibitor,Type 2 Diabetes,Tablet,6043254,2710401000,May increase digoxin levels slightly,145.0,Y,N,N,Y,2020-01-01,2029-12-31,17000300000000,Antidiabetics,Dipeptidyl Peptidase-4 Inhibitors,BX,665058.0
1024,PROD1024,Clopidogrel 75mg,clopidogrel,Antiplatelet,Coronary Artery Disease,Tablet,78036315,8380001000,Reduced efficacy with omeprazole (CYP2C19),16.5,N,N,N,Y,2020-01-01,2029-12-31,18000100000000,Antiplatelet Agents,P2Y12 Platelet Inhibitors,AB,309362.0
1003,PROD1003,Metoprolol 25mg,metoprolol succinate,Beta Blocker,Hypertension,Tablet,378526001,2210201000,Risk of bradycardia with other antihypertensives,14.0,N,N,N,Y,2020-01-01,2029-12-31,21000100000000,Beta Blockers,Beta-1 Selective (Cardioselective) Blockers,AB,866427.0
1050,PROD1050,Tiotropium 18mcg,tiotropium,Anticholinergic,COPD,Inhaler,597000710,4400601000,Anticholinergic effects; avoid with other anticholinergics,185.0,Y,N,N,Y,2020-01-01,2029-12-31,31000100000000,Respiratory Anticholinergics,Long-Acting Muscarinic Antagonists,BX,
1013,PROD1013,Sertraline 50mg,sertraline,SSRI,Major Depressive Disorder,Tablet,49493066,6010001000,Serotonin syndrome with MAOIs; increased bleeding with NSAIDs,14.5,N,N,N,Y,2020-01-01,2029-12-31,16000100000000,Antidepressants,Selective Serotonin Reuptake Inhibitors,AB,312940.0
1006,PROD1006,Metformin 500mg,metformin,Biguanide,Type 2 Diabetes,Tablet,93107601,2710001000,Lactic acidosis risk with contrast media,9.0,N,N,N,Y,2020-01-01,2029-12-31,17000100000000,Antidiabetics,Biguanides,AB,861007.0
1029,PROD1029,Naproxen 500mg,naproxen,NSAID,Osteoarthritis,Tablet,93278001,7420001000,GI bleeding; reduced diuretic effect,12.0,N,N,N,Y,2020-01-01,2029-12-31,29000200000000,NSAIDs,Nonselective COX Inhibitors,AB,198013.0
1033,PROD1033,Carvedilol 12.5mg,carvedilol,Alpha-Beta Blocker,Heart Failure,Tablet,7479120,2210301000,Bradycardia; hypotension with antihypertensives,18.0,N,N,N,Y,2020-01-01,2029-12-31,21000200000000,Beta Blockers,Combined Alpha/Beta Adrenergic Blockers,AB,
