csv_generic_name,matched_prod_sks,verified_rxcui_in,verified_rxcui_scd,verified_ndc,verified_ingredient_raw,verified_ingredient_normalized,verified_active_moiety_raw,verified_active_moiety_normalized,verified_route_raw,verified_route_normalized,verified_dose_form_raw,verified_dose_form_normalized,csv_strength_value,csv_strength_unit,normalized_strength_value,normalized_strength_unit,strength_normalization_status,verified_moa_classes_raw,verified_moa_classes_normalized,verified_moa_class_ids,moa_lookup_confidence,ingredient_count,is_combination_product,csv_therapeutic_class_raw,csv_therapeutic_class_normalized,lookup_confidence,lookup_timestamp,rxcui_in_verification_status
linagliptin,1038,,,597001510,linagliptin,linagliptin,linagliptin,linagliptin,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,Antidiabetics;Dipeptidyl Peptidase-4 Inhibitors,antidiabetics;dipeptidyl peptidase-4 inhibitors,N2658165847,needs_verification,1,FALSE,DPP-4 Inhibitor,dpp-4 inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
lisinopril,1001,,314076,71015623,lisinopril,lisinopril,lisinopril,lisinopril,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,ACE Inhibitors;Angiotensin-Converting Enzyme Inhibitors,ace inhibitors;angiotensin-converting enzyme inhibitors,N6071347278,needs_verification,1,FALSE,ACE Inhibitor,ace inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
lithium carbonate,1044,,358263,74669024,lithium carbonate,lithium carbonate,lithium carbonate,lithium carbonate,Oral,oral,Oral Capsule,capsule,10,MEQ,,MEQ,unconvertible_unit,Mood Stabilizers;Lithium Salts,lithium salts;mood stabilizers,N8485198509,needs_verification,1,FALSE,Mood Stabilizer,mood stabilizer,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
metformin,1006,,861007,93107601,metformin,metformin,metformin,metformin,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Antidiabetics;Biguanides,antidiabetics;biguanides,N9898390943,needs_verification,1,FALSE,Biguanide,biguanide,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
metoprolol succinate,1003,,866427,378526001,metoprolol succinate,metoprolol succinate,metoprolol,metoprolol,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Beta Blockers;Beta-1 Selective (Cardioselective) Blockers,beta blockers;beta-1 selective (cardioselective) blockers,N5513282946,needs_verification,1,FALSE,Beta Blocker,beta blocker,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
montelukast,1020,,597966,6071754,montelukast,montelukast,montelukast,montelukast,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Asthma/Allergy Agents;Leukotriene Receptor Antagonists,asthma/allergy agents;leukotriene receptor antagonists,N2626369783,needs_verification,1,FALSE,Leukotriene Modifier,leukotriene modifier,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
naproxen,1029,,198013,93278001,naproxen,naproxen,naproxen,naproxen,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,NSAIDs;Nonselective COX Inhibitors,nonselective cox inhibitors;nsaids,N5936493797,needs_verification,1,FALSE,NSAID,nsaid,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
omeprazole,1011,,402873,93312805,omeprazole,omeprazole,omeprazole,omeprazole,Oral,oral,Oral Capsule,capsule,10,MG,10,mg,converted,Proton Pump Inhibitors;Substituted Benzimidazoles,proton pump inhibitors;substituted benzimidazoles,N1602629026,needs_verification,1,FALSE,Proton Pump Inhibitor,proton pump inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
pantoprazole,1012,,854873,93315305,pantoprazole,pantoprazole,pantoprazole,pantoprazole,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Proton Pump Inhibitors;Substituted Benzimidazoles,proton pump inhibitors;substituted benzimidazoles,N1602629026,needs_verification,1,FALSE,Proton Pump Inhibitor,proton pump inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
pioglitazone,1040,,261102,169275030,pioglitazone,pioglitazone,pioglitazone,pioglitazone,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Antidiabetics;Thiazolidinediones,antidiabetics;thiazolidinediones,N8981441540,needs_verification,1,FALSE,Thiazolidinedione,thiazolidinedione,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
pregabalin,1027,,,71010568,pregabalin,pregabalin,pregabalin,pregabalin,Oral,oral,Oral Capsule,capsule,10,MEQ,,MEQ,unconvertible_unit,Anticonvulsants;Gabapentinoids (GABA Analogs),anticonvulsants;gabapentinoids (gaba analogs),N1749560268,needs_verification,1,FALSE,Anticonvulsant,anticonvulsant,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
quetiapine,1043,,574137,310027515,quetiapine,quetiapine,quetiapine,quetiapine,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antipsychotics;Atypical (Second-Generation) Antipsychotics,antipsychotics;atypical (second-generation) antipsychotics,N2872990017,needs_verification,1,FALSE,Atypical Antipsychotic,atypical antipsychotic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
risedronate,1017,,,149047601,risedronate,risedronate,risedronate,risedronate,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,Bone Resorption Inhibitors;Nitrogen-Containing Bisphosphonates,bone resorption inhibitors;nitrogen-containing bisphosphonates,N6155249701,needs_verification,1,FALSE,Bisphosphonate,bisphosphonate,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
rivaroxaban,1023,,1114195,50458057890,rivaroxaban,rivaroxaban,rivaroxaban,rivaroxaban,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,Anticoagulants;Direct Factor Xa Inhibitors,anticoagulants;direct factor xa inhibitors,N5256752735,needs_verification,1,FALSE,Factor Xa Inhibitor,factor xa inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
rosuvastatin,1005,,859749,310075030,rosuvastatin,rosuvastatin,rosuvastatin,rosuvastatin,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Statins;HMG-CoA Reductase Inhibitors,hmg-coa reductase inhibitors;statins,N5619132230,needs_verification,1,FALSE,Statin,statin,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
sacubitril/valsartan,1034,,,78065715,sacubitril/valsartan,sacubitril/valsartan,sacubitril/valsartan,sacubitril/valsartan,Oral,oral,Oral Tablet,tablet,10,ML,,ML,unconvertible_unit,Heart Failure Agents;Angiotensin Receptor-Neprilysin Inhibitors,angiotensin receptor-neprilysin inhibitors;heart failure agents,N0746635546,needs_verification,1,FALSE,ARNI,arni,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
sertraline,1013,,312940,49493066,sertraline,sertraline,sertraline,sertraline,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Antidepressants;Selective Serotonin Reuptake Inhibitors,antidepressants;selective serotonin reuptake inhibitors,N1945807590,needs_verification,1,FALSE,SSRI,ssri,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
sitagliptin,1008,,665058,6043254,sitagliptin,sitagliptin,sitagliptin,sitagliptin,Oral,oral,Oral Tablet,tablet,10,GM,10000,mg,converted,Antidiabetics;Dipeptidyl Peptidase-4 Inhibitors,antidiabetics;dipeptidyl peptidase-4 inhibitors,N2658165847,needs_verification,1,FALSE,DPP-4 Inhibitor,dpp-4 inhibitor,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
spironolactone,1032,,313096,25102831,spironolactone,spironolactone,spironolactone,spironolactone,Oral,oral,Oral Tablet,tablet,10,MEQ,,MEQ,unconvertible_unit,Diuretics;Aldosterone Receptor Antagonists,aldosterone receptor antagonists;diuretics,N7752279841,needs_verification,1,FALSE,Potassium-Sparing Diuretic,potassium-sparing diuretic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
tamsulosin,1046,,372568,88110947,tamsulosin,tamsulosin,tamsulosin,tamsulosin,Oral,oral,Oral Capsule,capsule,10,MEQ,,MEQ,unconvertible_unit,Alpha Blockers;Selective Alpha-1 Adrenergic Antagonists,alpha blockers;selective alpha-1 adrenergic antagonists,N8867021876,needs_verification,1,FALSE,Alpha Blocker,alpha blocker,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
tiotropium,1050,,,597000710,tiotropium,tiotropium,tiotropium,tiotropium,Respiratory (Inhalation),respiratory (inhalation),Respiratory Inhalant,inhalant,10,MCG,0.01,mg,converted,Respiratory Anticholinergics;Long-Acting Muscarinic Antagonists,long-acting muscarinic antagonists;respiratory anticholinergics,N0809835624,needs_verification,1,FALSE,Anticholinergic,anticholinergic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
venlafaxine,1041,,,8443901,venlafaxine,venlafaxine,venlafaxine,venlafaxine,Oral,oral,Oral Capsule,capsule,10,IU,,IU,unconvertible_unit,Antidepressants;Serotonin-Norepinephrine Reuptake Inhibitors,antidepressants;serotonin-norepinephrine reuptake inhibitors,N6384756566,needs_verification,1,FALSE,SNRI,snri,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
warfarin,1021,,855332,56016985,warfarin,warfarin,warfarin,warfarin,Oral,oral,Oral Tablet,tablet,10,IU,,IU,unconvertible_unit,Anticoagulants;Vitamin K Antagonists,anticoagulants;vitamin k antagonists,N5075778022,needs_verification,1,FALSE,Anticoagulant,anticoagulant,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
zolpidem,1045,,313782,536416301,zolpidem,zolpidem,zolpidem,zolpidem,Oral,oral,Oral Tablet,tablet,10,MCG,0.01,mg,converted,Sedative-Hypnotics;Nonbenzodiazepine GABA-A Agonists (Z-Drugs),nonbenzodiazepine gaba-a agonists (z-drugs);sedative-hypnotics,N2495822949,needs_verification,1,FALSE,Non-Benzodiazepine Hypnotic,non-benzodiazepine hypnotic,needs_verification,2026-07-07T08:06:37.619625+00:00,unverified_pending_live_api_check
